rank,paper_id,extraction_timestamp,new_count,cumulative_count,in_final_window
1,doi:10.1186/s40594-025-00592-w,2026-04-17T07:26:44.022626+00:00,4,4,False
2,doi:10.1007/s00766-026-00457-w,2026-04-17T07:35:59.496054+00:00,4,8,False
3,doi:10.1145/3779296,2026-04-17T07:37:17.580099+00:00,5,13,False
4,doi:10.1007/s10664-026-10813-7,2026-04-17T08:24:39.006248+00:00,4,17,False
5,doi:10.5815/ijmecs.2026.02.05,2026-04-17T08:29:32.163147+00:00,4,21,False
6,doi:10.1002/cae.70177,2026-04-17T08:32:36.403121+00:00,2,23,False
7,doi:10.1145/3770762.3772668,2026-04-17T08:33:47.349559+00:00,5,28,False
8,doi:10.1145/3770762.3772662,2026-04-17T08:34:32.163947+00:00,5,33,False
9,doi:10.3390/electronics15040903,2026-04-17T08:35:47.765002+00:00,1,34,False
10,doi:10.59543/gk2qp136,2026-04-17T08:36:29.343829+00:00,4,38,False
11,doi:10.18267/j.aip.282,2026-04-17T08:40:30.055103+00:00,3,41,False
12,doi:10.5152/electrica.2026.25033,2026-04-17T08:45:02.437283+00:00,6,47,False
13,doi:10.1109/tse.2026.3651566,2026-04-17T08:46:11.911702+00:00,3,50,False
14,doi:10.1145/3769694.3771107,2026-04-17T08:48:28.039127+00:00,4,54,False
15,doi:10.14569/ijacsa.2025.0161272,2026-04-17T08:48:32.370645+00:00,4,58,False
16,doi:10.1145/3769694.3771128,2026-04-17T08:48:50.611750+00:00,3,61,False
17,doi:10.1145/3774752,2026-04-17T08:48:57.146699+00:00,2,63,False
18,doi:10.1609/aaai.v40i47.41475,2026-04-17T08:49:09.277756+00:00,4,67,False
19,doi:10.1145/3756681.3757081,2026-04-17T08:49:10.054332+00:00,4,71,False
20,doi:10.1007/s10257-025-00704-7,2026-04-17T08:49:22.363358+00:00,3,74,False
21,doi:10.1145/3773274.3774686,2026-04-17T08:49:25.500144+00:00,2,76,False
22,doi:10.1016/j.jss.2025.112541,2026-04-17T08:49:35.252786+00:00,5,81,False
23,doi:10.1007/s10664-025-10730-1,2026-04-17T08:49:38.762690+00:00,5,86,False
24,doi:10.1038/s41598-025-98378-1,2026-04-17T08:49:42.303161+00:00,4,90,False
25,doi:10.1145/3769994.3769997,2026-04-17T08:49:47.825361+00:00,4,94,False
26,doi:10.1145/3769994.3770029,2026-04-17T08:49:53.089479+00:00,4,98,False
27,doi:10.14569/ijacsa.2025.0161190,2026-04-17T08:49:54.961075+00:00,3,101,False
28,doi:10.1145/3663547.3759729,2026-04-17T08:50:04.649943+00:00,4,105,False
29,doi:10.1145/3756681.3756938,2026-04-17T08:50:19.695387+00:00,4,109,False
30,doi:10.1145/3721127,2026-04-17T08:50:51.302042+00:00,4,113,False
31,doi:10.5815/ijmecs.2025.05.07,2026-04-17T08:50:51.645322+00:00,2,115,False
32,doi:10.1145/3746059.3747689,2026-04-17T08:50:55.698044+00:00,4,119,False
33,doi:10.1145/3745900.3746089,2026-04-17T08:51:10.552978+00:00,3,122,False
34,doi:10.1145/3696630.3731667,2026-04-17T08:51:18.483432+00:00,1,123,False
35,doi:10.1002/spe.3432,2026-04-17T08:51:29.112728+00:00,2,125,False
36,doi:10.1145/3716167,2026-04-17T08:51:31.765699+00:00,3,128,False
37,doi:10.1145/3696630.3730566,2026-04-17T08:51:47.867839+00:00,4,132,False
38,doi:10.1145/3696630.3728559,2026-04-17T08:51:55.691347+00:00,3,135,False
39,doi:10.1145/3696630.3728552,2026-04-17T08:52:13.198170+00:00,3,138,False
40,doi:10.1145/3707640.3731915,2026-04-17T08:52:18.181279+00:00,3,141,False
41,doi:10.1016/j.infsof.2025.107751,2026-04-17T08:52:20.621758+00:00,3,144,False
42,doi:10.1145/3726302.3729960,2026-04-17T08:52:26.883034+00:00,4,148,False
43,doi:10.1145/3708518,2026-04-17T08:52:28.306807+00:00,4,152,False
44,doi:10.1145/3696630.3728533,2026-04-17T08:52:29.579467+00:00,5,157,False
45,doi:10.1145/3708319.3733810,2026-04-17T08:52:41.405526+00:00,2,159,False
